RiskID,DateRaised,Title,Description,Category,PMBOK_Domain,Owner,Likelihood(1-5),Impact(1-5),RiskScore,Response(Avoid/Transfer/Mitigate/Accept),MitigationActions,ContingencyPlan,ResidualLikelihood,ResidualImpact,ResidualScore,Status(Open/InProgress/Mitigated/Closed),TargetDate,ReviewDate,Notes
R-001,01/01/2026,Ground conditions worse than expected,Ground investigation report indicates possible variability in bearing capacity,Technical,Uncertainty,Site Engineer,4,4,16,Mitigate,Additional boreholes before excavation; piling design contingency,Switch to piled foundations if CBR < target,3,3,9,Open,01/03/2026,01/02/2026,
R-002,01/01/2026,Adverse weather during superstructure,Winter working may impact concrete pouring and crane operations,Environmental,Uncertainty,Site Manager,3,3,9,Mitigate,Programme weather-sensitive works Apr–Sep; temporary enclosures,Schedule buffer in critical path,2,3,6,Open,01/06/2026,Monthly,
R-003,01/01/2026,Specialist subcontractor insolvency,Key MEP subcontractor financial viability concerns,Commercial,Uncertainty,Commercial Mgr,2,5,10,Transfer,Parent company guarantee; performance bond; pre-vet financial checks,Alternative subcontractor pre-qualified,1,4,4,Open,Prior to award,Quarterly,
R-004,01/01/2026,Permit delays from local authority,Planning conditions take longer than expected to discharge,Legal,Uncertainty,Design Mgr,3,4,12,Mitigate,Early engagement with planners; dedicated planning consultant,Accelerated works on unaffected areas,2,3,6,Open,Pre-construction,Weekly,
R-005,01/01/2026,Design change requests from client,Client may request changes during construction impacting cost/time,Stakeholder,Stakeholders,Project Mgr,4,3,12,Mitigate,Robust change control; design freeze before key stages,Contingency for 5% scope creep,3,2,6,Open,Throughout,Monthly,
R-006,01/01/2026,BIM coordination issues causing rework,Late clash detection could cause expensive on-site rework,Technical,Delivery,BIM Mgr,3,4,12,Mitigate,Federated model reviews every 2 weeks; Solibri clash reports,Rework contingency 2%,2,3,6,Open,Design stages,Bi-weekly,
R-007,01/01/2026,Long-lead items delayed,Specialist equipment 20+ week lead time may cause delay,Technical,Planning,Commercial Mgr,3,4,12,Mitigate,Early order; secure fabrication slot; alternate suppliers identified,Temporary plant / alternative specification,2,3,6,Open,3 months pre-install,Monthly,
R-008,01/01/2026,Safety incident causing HSE stoppage,Serious incident could trigger HSE prohibition notice,Safety,Uncertainty,HSE Mgr,2,5,10,Mitigate,ISO 45001 system; daily toolbox talks; independent audits,HSE response team; stoppage procedure,1,4,4,Open,Throughout,Weekly,
R-009,01/01/2026,Cost inflation in materials,Steel/concrete prices volatile in current market,Commercial,Measurement,Cost Mgr,4,3,12,Mitigate,Fix prices with suppliers at contract award; value engineering,Contingency 5% of relevant costs,3,2,6,Open,Continuous,Monthly,
R-010,01/01/2026,Community objections / complaints,Noise / dust complaints from neighbours could restrict working hours,Stakeholder,Stakeholders,PR / PM,3,2,6,Mitigate,Community liaison plan; noise monitoring; communications,Adjusted working methods,2,2,4,Open,Throughout,Monthly,
